companyName,contactName,email,phone,industry,website,description,status,source
"Fox, Jenkins and Davidson",Gregory Gill,qrobinson@hotmail.com,390-337-7549,Facilitate,https://www.thompson.info/,Right-sized stable artificial intelligence,Active,Referral
Baxter Inc,Elizabeth Cortez,snyderwilliam@romero.biz,493-318-8251,Implement,https://www.phillips.biz/,Team-oriented next generation groupware,Inactive,Social Media
Smith-Diaz,Arthur Small,jenglish@aguilar.com,890-067-9815,Streamline,http://www.young.com/,Re-engineered optimal project,Inactive,Ad Campaign
"Martin, Middleton and Freeman",Carlos Morgan,terryeric@ramirez-garcia.com,(103)584-6532,Redefine,https://nelson-smith.com/,Function-based bifurcated system engine,Active,Ad Campaign
Barr Group,Anna Porter,alicia00@sellers-hines.com,349-568-7205,Matrix,https://richards.com/,Expanded even-keeled archive,Potential,Website
Wagner and Sons,Richard Dunn,ellissherry@hotmail.com,001-648-690-1511x9878,Re-contextualize,https://www.ross.biz/,Programmable leadingedge approach,Potential,Social Media
"Bates, Mcdonald and Hayden",Thomas Gilbert,bakerfrederick@barnes.com,068-556-7151,Envisioneer,https://perez-webb.com/,Cross-group actuating data-warehouse,Potential,Referral
Miles-Harris,Kenneth Parks,wilsoneric@hotmail.com,839-032-4599,Unleash,https://pittman-massey.com/,Centralized solution-oriented middleware,Potential,Referral
Shaffer Ltd,Madeline Flores,ccampbell@gmail.com,968.621.4701,Redefine,http://spencer.com/,Enterprise-wide value-added frame,Active,Referral
Ortiz-Conley,Corey Cooper,pearsonglenn@romero.com,(350)602-4406x59424,Visualize,https://merritt.net/,Inverse executive productivity,Active,Social Media
Jones-Tyler,Kevin Baker,stephenscheryl@reyes-shields.info,001-438-751-7509x041,Exploit,http://butler-freeman.org/,Front-line 24/7 workforce,Active,Ad Campaign
"Ruiz, Hardin and Morris",Heather Burton,jacksonmichelle@yahoo.com,+1-050-617-8780,Aggregate,https://www.todd.com/,Synergistic local function,Inactive,Ad Campaign
"Martin, Houston and Stevenson",Jason Scott Jr.,zbrown@gmail.com,(146)685-1548x2346,Leverage,http://patton.info/,Expanded maximized strategy,Potential,Ad Campaign
